Navio Ship,Cheg/Arrival d/m/y,Operaç Operat,Mercadoria Goods,Peso Weight
XIN CHANG SHA,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 3600
XIN WEI HAI,01/10/2025,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000
ZIM THAILAND,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,5400 5400
CMA CGM VERACRUZ (REB S/L,01/10/2025 05:25:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500
COSCO SHIPPING ARGENTINA,01/10/2025 07:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 3600
XIN CHONG QING,01/10/2025 07:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 3600
MSC SARA ELENA,01/10/2025 10:54:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800
APL NEW JERSEY,01/10/2025 14:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500
LOG-IN PANTANAL (REB),01/10/2025 17:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200
VELIKA,02/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,4536 360
MSC DAKAR X,02/10/2025 02:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800
VICENTE PINZÓN,02/10/2025 02:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
MSC GHANA,02/10/2025 05:15:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18000 1800
COSCO SHIPPING BRAZIL,02/10/2025 07:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 9000
ZIM BALTIMORE,02/10/2025 07:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
CMA CGM BUZIOS,02/10/2025 12:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500
SANTA INES,03/10/2025 01:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
PEDRO ÁLVARES CABRAL,03/10/2025 14:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 3600
MAERSK LOTA,03/10/2025 15:49:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
RDO FORTUNE,04/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,16956 486
EVER FUTURE,04/10/2025 01:00:00,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,180
MSC MAGNUM VII,04/10/2025 01:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 1800
MSC VANCOUVER,04/10/2025 01:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18000 1800
ONE PARANA,04/10/2025 01:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530 15300
JAZAN,04/10/2025 10:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1620 15300
CMA CGM PETRA,04/10/2025 12:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500
HYUNDAI FORCE,05/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
SAN NICOLAS MAERSK,05/10/2025 01:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
SAN RAPHAEL MAERSK,05/10/2025 01:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
SEATTLE C,05/10/2025 07:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 9000
MAERSK KARUN,05/10/2025 08:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
COSTA RICA EXPRESS,05/10/2025 10:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18666 126
MAERSK LAGUNA,05/10/2025 10:18:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
MSC BIANCA,05/10/2025 14:35:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800
LOG-IN POLARIS,05/10/2025 18:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200
MSC ADELE,05/10/2025 19:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 27000
MSC ROCHELLE,05/10/2025 20:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 14400
LORI,06/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12834 4266
AS CAROLINA,06/10/2025 07:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
LOG-IN DISCOVERY (REB S/L,06/10/2025 17:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200
WIDE HOTEL,06/10/2025 19:00:00,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300
LOG-IN JATOBÁ,07/10/2025 11:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200
MSC LETIZIA,07/10/2025 11:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 18000
EVER FAME,07/10/2025 13:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,19800 180
