CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
CMA CGM VERACRUZ (REB S/L,BRASILEIRA,229 8,Cabo,01/10/2025 05:25:00,4342-7,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500,4432-8 2025,444022025,B,TECON,9418377,
COSCO SHIPPING ARGENTINA,HONG KONG,336 12.3,Long,01/10/2025 07:00:00,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 3600,4216-3 2025,422382025,B,TECON,9945849,
XIN CHONG QING,CHINESA,263 11.5,Long,01/10/2025 07:00:00,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 3600,4207-4 2025,422252025,B,TECON,9262118,
MSC SARA ELENA,PORTUGUESA,300 13.8,Long,01/10/2025 10:54:00,4345-1,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800,4111-7 2025,411462025,B,B.T.P. 1,9702261,
APL NEW JERSEY,LIBERIANA,293 10,Long,01/10/2025 14:00:00,4347-8,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500,4424-5 2025,443722025,B,TECON,9350020,
LOG-IN PANTANAL (REB),BRASILEIRA,183 9.1,Cabo,01/10/2025 17:00:00,,MSC MEDITERRANEAN SHIPPING DO BR,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200,4382-- 2025,438802025,B,TECON,9351799,
VELIKA,LIBERIANA,243 5,Long,02/10/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,4536 360,4307-9 2025,431632025,B,EPORT 1/TECON 1,9243162,
MSC DAKAR X,PORTUGUESA,300 13.8,Long,02/10/2025 02:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800,4526-2 2025,444002025,B,B.T.P. 1,9605231,
VICENTE PINZÓN,BRASILEIRA,255 9,Cabo,02/10/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4274-3 2025,404542025,B,EPORT 1/TECON 1,9625396,
MSC GHANA,LIBERIANA,260 14.2,Long,02/10/2025 05:15:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18000 1800,4433-4 2025,438702025,B,B.T.P. 1,9974503,
